,Attendance,Date,Location,Losing_Fighter_Name,Losing_Pass,Losing_STR,Losing_Sub,Losing_TD,Method,Method_Detail,Round,Time,Weight_Class,Winning_Fighter_Name,Winning_Pass,Winning_STR,Winning_Sub,Winning_TD
0,USA,"July 24, 2021","Vegas,",Cory Sandhagen,1,0,0,128,S-DEC,,5,5:00,Bantamweight,TJ Dillashaw,0,0,2,110
1,USA,"July 24, 2021","Vegas,",Kyler Phillips,0,1,4,74,M-DEC,,3,5:00,Bantamweight,Raulian Paiva,0,0,2,51
2,USA,"July 24, 2021","Vegas,",Darrick Minner,3,0,2,19,KO/TKO,Punches,2,3:48,Featherweight,Darren Elkins,0,0,1,20
3,USA,"July 24, 2021","Vegas,",Miranda Maverick,0,0,1,47,S-DEC,,3,5:00,Women's Flyweight,Maycee Barber,0,0,1,36
4,USA,"July 24, 2021","Vegas,",Randy Costa,0,0,0,69,KO/TKO,Punches,2,2:11,Bantamweight,Adrian Yanez,0,1,0,64
5,USA,"July 24, 2021","Vegas,",Punahele Soriano,0,0,0,66,U-DEC,,3,5:00,Middleweight,Brendan Allen,0,0,0,94
6,USA,"July 24, 2021","Vegas,",Ian Heinisch,0,0,0,24,KO/TKO,Punches,2,3:09,Middleweight,Nassourdine Imavov,0,0,1,39
7,USA,"July 24, 2021","Vegas,",Jordan Williams,0,0,1,13,SUB,Rear Naked Choke,1,2:57,Welterweight,Mickey Gall,2,0,1,11
8,USA,"July 24, 2021","Vegas,",Andre Ewell,0,0,0,31,KO/TKO,Punches,2,3:45,Bantamweight,Julio Arce,0,0,0,42
9,USA,"July 24, 2021","Vegas,",Elise Reed,0,0,0,1,KO/TKO,Punches,1,3:49,Women's Flyweight,Sijara Eubanks,0,0,1,22
10,USA,"July 24, 2021","Vegas,",Hannah Goldy,0,0,2,92,U-DEC,,3,5:00,Women's Strawweight,Diana Belbita,0,1,0,117
11,USA,"July 17, 2021","Vegas,",Thiago Moises,1,0,1,13,SUB,Rear Naked Choke,4,2:38,Lightweight,Islam Makhachev,1,0,3,61
12,USA,"July 17, 2021","Vegas,",Marion Reneau,0,0,0,25,KO/TKO,Elbows,3,1:53,Women's Bantamweight,Miesha Tate,0,0,3,65
13,USA,"July 17, 2021","Vegas,",Jeremy Stephens,0,0,0,0,SUB,Kimura,1,1:05,Lightweight,Mateusz Gamrot,1,0,1,1
14,USA,"July 17, 2021","Vegas,",Dustin Stoltzfus,0,0,0,67,SUB,Rear Naked Choke,3,1:54,Middleweight,Rodolfo Vieira,1,0,3,49
15,USA,"July 17, 2021","Vegas,",Gabriel Benitez,1,1,0,57,KO/TKO,Punches,3,3:40,Featherweight,Billy Quarantillo,1,1,3,100
16,USA,"July 17, 2021","Vegas,",Preston Parsons,0,0,0,23,KO/TKO,Punches,1,3:47,Welterweight,Daniel Rodriguez,0,0,0,45
17,USA,"July 17, 2021","Vegas,",Montserrat Conejo,0,0,0,3,KO/TKO,Punch,1,0:35,Women's Strawweight,Amanda Lemos,0,1,0,7
18,USA,"July 17, 2021","Vegas,",Khalid Taha,0,0,0,33,U-DEC,,3,5:00,Bantamweight,Sergey Morozov,0,0,6,50
19,USA,"July 17, 2021","Vegas,",Francisco Figueiredo,0,0,2,28,U-DEC,,3,5:00,Flyweight,Malcolm Gordon,0,0,2,46
20,USA,"July 17, 2021","Vegas,",Alan Baudot,0,0,0,60,KO/TKO,Punches,2,1:29,Heavyweight,Rodrigo Nascimento,0,0,0,49
21,USA,"July 10, 2021","Vegas,",Conor McGregor,1,0,0,27,KO/TKO,,1,5:00,Lightweight,Dustin Poirier,0,0,1,36
22,USA,"July 10, 2021","Vegas,",Stephen Thompson,0,0,0,19,U-DEC,,3,5:00,Welterweight,Gilbert Burns,0,0,3,29
23,USA,"July 10, 2021","Vegas,",Greg Hardy,0,0,0,6,KO/TKO,Punch,1,1:07,Heavyweight,Tai Tuivasa,0,1,0,11
24,USA,"July 10, 2021","Vegas,",Yana Kunitskaya,0,0,0,24,KO/TKO,Punches,1,4:35,Women's Bantamweight,Irene Aldana,0,1,0,37
25,USA,"July 10, 2021","Vegas,",Kris Moutinho,0,0,0,70,KO/TKO,Punches,3,4:33,Bantamweight,Sean O'Malley,0,1,0,230
26,USA,"July 10, 2021","Vegas,",Carlos Condit,0,0,0,63,U-DEC,,3,5:00,Welterweight,Max Griffin,0,1,1,93
27,USA,"July 10, 2021","Vegas,",Niko Price,1,0,0,76,U-DEC,,3,5:00,Welterweight,Michel Pereira,2,0,3,92
28,USA,"July 10, 2021","Vegas,",Ryan Hall,0,0,0,10,KO/TKO,Punches,1,4:47,Featherweight,Ilia Topuria,0,0,0,18
29,USA,"July 10, 2021","Vegas,",Trevin Giles,0,0,0,10,KO/TKO,Punch,2,1:41,Middleweight,Dricus Du Plessis,0,1,2,25
30,USA,"July 10, 2021","Vegas,",Jessica Eye,0,0,2,100,U-DEC,,3,5:00,Women's Flyweight,Jennifer Maia,0,0,0,98
31,USA,"July 10, 2021","Vegas,",Omari Akhmedov,0,0,2,48,S-DEC,,3,5:00,Middleweight,Brad Tavares,0,1,0,84
32,USA,"July 10, 2021","Vegas,",Jerome Rivera,0,0,0,11,SUB,Guillotine Choke,1,2:02,Flyweight,Zhalgas Zhumagulov,1,0,0,10
33,USA,"June 26, 2021","Vegas,",Alexander Volkov,0,0,0,115,U-DEC,,5,5:00,Heavyweight,Ciryl Gane,0,0,0,135
34,USA,"June 26, 2021","Vegas,",Ovince Saint Preux,0,0,1,9,KO/TKO,Punch,2,2:31,Heavyweight,Tanner Boser,0,1,0,33
35,USA,"June 26, 2021","Vegas,",Raoni Barcelos,0,2,0,69,M-DEC,,3,5:00,Bantamweight,Timur Valiev,0,0,0,77
36,USA,"June 26, 2021","Vegas,",Andre Fili,0,0,1,34,Featherweight,CNC,,2,0,nc,0,Daniel Pineda,15,0
37,USA,"June 26, 2021","Vegas,",Nicolas Dalby,0,0,0,54,U-DEC,,3,5:00,Welterweight,Tim Means,0,0,1,53
38,USA,"June 26, 2021","Vegas,",Jai Herbert,0,0,0,7,SUB,Rear Naked Choke,2,4:34,Lightweight,Renato Moicano,1,0,5,26
39,USA,"June 26, 2021","Vegas,",Danilo Marques,0,0,2,10,KO/TKO,Punches,3,0:20,Light Heavyweight,Kennedy Nzechukwu,0,0,0,31
40,USA,"June 26, 2021","Vegas,",Michel Prazeres,0,0,0,6,SUB,Rear Naked Choke,2,2:10,Welterweight,Shavkat Rakhmonov,1,0,1,21
41,USA,"June 26, 2021","Vegas,",Warlley Alves,1,0,0,15,KO/TKO,Punch,2,0:30,Welterweight,Jeremiah Wells,0,1,0,21
42,USA,"June 26, 2021","Vegas,",Ike Villanueva,0,0,1,34,KO/TKO,Kick,2,0:56,Light Heavyweight,Marcin Prachnio,0,1,0,59
43,USA,"June 26, 2021","Vegas,",Julija Stoliarenko,0,0,1,40,SUB,Rear Naked Choke,3,4:19,Women's Bantamweight,Julia Avila,1,0,1,48
44,USA,"June 26, 2021","Vegas,",Justin Jaynes,2,0,2,44,S-DEC,,3,5:00,Featherweight,Charles Rosa,2,0,2,51
45,USA,"June 26, 2021","Vegas,",Yancy Medeiros,2,0,2,103,U-DEC,,3,5:00,Lightweight,Damir Hadzovic,0,0,2,121
46,USA,"June 19, 2021","Vegas,",Dan Ige,0,0,0,80,U-DEC,,5,5:00,Featherweight,Chan Sung Jung,3,0,3,92
47,USA,"June 19, 2021","Vegas,",Aleksei Oleinik,1,0,1,59,U-DEC,,3,5:00,Heavyweight,Serghei Spivac,0,0,0,71
48,USA,"June 19, 2021","Vegas,",Davey Grant,0,0,1,83,U-DEC,,3,5:00,Bantamweight,Marlon Vera,3,0,2,105
49,USA,"June 19, 2021","Vegas,",Julian Erosa,0,0,0,10,KO/TKO,Punch,1,1:37,Featherweight,SeungWoo Choi,0,1,0,13
50,USA,"June 19, 2021","Vegas,",Wellington Turman,0,0,0,1,KO/TKO,Punches,1,4:45,Middleweight,Bruno Silva,0,0,0,19
51,USA,"June 19, 2021","Vegas,",Dhiego Lima,0,0,0,23,KO/TKO,Punch,2,3:02,Welterweight,Matt Brown,0,1,0,27
52,USA,"June 19, 2021","Vegas,",Aleksa Camur,0,0,0,102,S-DEC,,3,5:00,Light Heavyweight,Nicolae Negumereanu,0,0,1,71
53,USA,"June 19, 2021","Vegas,",Kanako Murata,0,0,0,23,KO/TKO,,2,5:00,Women's Strawweight,Virna Jandiroba,1,0,0,36
54,USA,"June 19, 2021","Vegas,",Matthew Semelsberger,0,0,0,64,U-DEC,,3,5:00,Welterweight,Khaos Williams,0,0,0,91
55,USA,"June 19, 2021","Vegas,",Roque Martinez,1,0,0,64,S-DEC,,3,5:00,Heavyweight,Josh Parisian,0,0,1,79
56,USA,"June 19, 2021","Vegas,",Joaquim Silva,0,0,0,1,KO/TKO,Punches,1,0:37,Lightweight,Ricky Glenn,0,2,0,10
57,USA,"June 19, 2021","Vegas,",Lara Procopio,0,0,2,41,SUB,Rear Naked Choke,3,2:54,Women's Flyweight,Casey O'Neill,2,0,1,71
58,USA,"June 12, 2021","Glendale,",Marvin Vettori,0,0,4,58,U-DEC,,5,5:00,Middleweight,Israel Adesanya,0,0,0,96
59,USA,"June 12, 2021","Glendale,",Deiveson Figueiredo,0,0,1,24,SUB,Rear Naked Choke,3,2:26,Flyweight,Brandon Moreno,2,1,2,47
60,USA,"June 12, 2021","Glendale,",Nate Diaz,0,0,0,76,U-DEC,,5,5:00,Welterweight,Leon Edwards,0,0,4,77
61,USA,"June 12, 2021","Glendale,",Demian Maia,0,0,1,21,U-DEC,,3,5:00,Welterweight,Belal Muhammad,0,0,0,45
62,USA,"June 12, 2021","Glendale,",Jamahal Hill,0,0,0,1,KO/TKO,Punches,1,1:59,Light Heavyweight,Paul Craig,3,0,0,23
63,USA,"June 12, 2021","Glendale,",Drew Dober,0,0,1,73,U-DEC,,3,5:00,Lightweight,Brad Riddell,0,0,5,89
64,USA,"June 12, 2021","Glendale,",Darren Stewart,0,0,2,33,U-DEC,,3,5:00,Light Heavyweight,Eryk Anders,0,0,0,44
65,USA,"June 12, 2021","Glendale,",Joanne Calderwood,0,0,0,123,S-DEC,,3,5:00,Women's Flyweight,Lauren Murphy,0,0,1,80
66,USA,"June 12, 2021","Glendale,",Hakeem Dawodu,0,0,0,39,U-DEC,,3,5:00,Featherweight,Movsar Evloev,2,0,9,42
67,USA,"June 12, 2021","Glendale,",Alexis Davis,0,0,1,132,U-DEC,,3,5:00,Women's Bantamweight,Pannie Kianzad,0,0,0,124
68,USA,"June 12, 2021","Glendale,",Matt Frevola,0,0,0,0,KO/TKO,Punch,1,0:07,Lightweight,Terrance McKinney,0,1,0,4
69,USA,"June 12, 2021","Glendale,",Chase Hooper,2,0,3,31,U-DEC,,3,5:00,Featherweight,Steven Peterson,2,0,1,49
70,USA,"June 12, 2021","Glendale,",Luigi Vendramini,0,0,1,34,M-DEC,,3,5:00,Lightweight,Fares Ziam,0,0,0,39
71,USA,"June 12, 2021","Glendale,",Jake Collier,0,0,0,130,S-DEC,,3,5:00,Heavyweight,Carlos Felipe,0,0,0,94
72,USA,"June 05, 2021","Vegas,",Augusto Sakai,0,0,0,3,KO/TKO,Punches,1,4:59,Heavyweight,Jairzinho Rozenstruik,0,1,0,16
73,USA,"June 05, 2021","Vegas,",Walt Harris,0,0,0,23,KO/TKO,Punches,1,4:06,Heavyweight,Marcin Tybura,0,0,1,4
74,USA,"June 05, 2021","Vegas,",Laureano Staropoli,0,0,3,9,U-DEC,,3,5:00,Middleweight,Roman Dolidze,0,0,5,14
75,USA,"June 05, 2021","Vegas,",Miguel Baeza,0,0,0,104,U-DEC,,3,5:00,Welterweight,Santiago Ponzinibbio,0,0,0,121
76,USA,"June 05, 2021","Vegas,",Dusko Todorovic,0,0,0,37,U-DEC,,3,5:00,Middleweight,Gregory Rodrigues,0,0,3,71
77,USA,"June 05, 2021","Vegas,",Ariane Lipski,0,0,0,11,KO/TKO,Punches,2,4:27,Women's Flyweight,Montana De La Rosa,0,0,2,29
78,USA,"June 05, 2021","Vegas,",Tanner Boser,0,0,0,45,S-DEC,,3,5:00,Heavyweight,Ilir Latifi,0,0,2,10
79,USA,"June 05, 2021","Vegas,",Francisco Trinaldo,0,0,0,39,U-DEC,,3,5:00,Welterweight,Muslim Salikhov,0,1,2,62
80,USA,"June 05, 2021","Vegas,",Makwan Amirkhani,0,0,5,20,U-DEC,,3,5:00,Featherweight,Kamuela Kirk,3,0,0,28
81,USA,"June 05, 2021","Vegas,",Alan Patrick,0,0,0,10,Lightweight,CNC,,2,0,nc,2,Mason Jones,46,0
82,USA,"June 05, 2021","Vegas,",Tabatha Ricci,0,0,0,17,KO/TKO,Punches,2,3:00,Women's Flyweight,Manon Fiorot,0,1,1,84
83,USA,"June 05, 2021","Vegas,",Youssef Zalal,0,0,2,42,S-DEC,,3,5:00,Featherweight,Sean Woodson,2,0,0,40
84,USA,"June 05, 2021","Vegas,",Jordan Leavitt,0,0,2,21,U-DEC,,3,5:00,Lightweight,Claudio Puelles,0,0,4,20
85,USA,"May 22, 2021","Vegas,",Cody Garbrandt,0,0,3,63,U-DEC,,5,5:00,Bantamweight,Rob Font,0,0,2,176
86,USA,"May 22, 2021","Vegas,",Yan Xiaonan,0,0,0,5,KO/TKO,Punches,2,2:58,Women's Strawweight,Carla Esparza,0,0,3,27
87,USA,"May 22, 2021","Vegas,",Justin Tafa,0,0,0,74,U-DEC,,3,5:00,Heavyweight,Jared Vanderaa,0,0,0,121
88,USA,"May 22, 2021","Vegas,",Felicia Spencer,0,0,0,47,S-DEC,,3,5:00,Women's Featherweight,Norma Dumont,0,0,1,68
89,USA,"May 22, 2021","Vegas,",Bill Algeo,0,0,0,76,U-DEC,,3,5:00,Featherweight,Ricardo Ramos,1,0,8,53
90,USA,"May 22, 2021","Vegas,",Edmen Shahbazyan,1,0,0,40,U-DEC,,3,5:00,Middleweight,Jack Hermansson,0,0,3,55
91,USA,"May 22, 2021","Vegas,",Chris Barnett,0,0,0,33,SUB,Guillotine Choke,2,2:07,Heavyweight,Ben Rothwell,2,0,1,60
92,USA,"May 22, 2021","Vegas,",Claudio Silva,0,0,1,21,U-DEC,,3,5:00,Welterweight,Court McGee,1,0,3,37
93,USA,"May 22, 2021","Vegas,",Victor Rodriguez,0,0,0,0,KO/TKO,Punch,1,1:00,Flyweight,Bruno Silva,0,1,0,6
94,USA,"May 22, 2021","Vegas,",Shayilan Nuerdanbieke,0,0,2,17,U-DEC,,3,5:00,Featherweight,Josh Culibao,1,0,0,53
95,USA,"May 22, 2021","Vegas,",Juancamilo Ronderos,0,0,0,11,SUB,Rear Naked Choke,1,2:18,Flyweight,David Dvorak,1,0,0,9
96,USA,"May 22, 2021","Vegas,",Rafael Alves,1,1,0,30,U-DEC,,3,5:00,Lightweight,Damir Ismagulov,0,0,2,56
97,USA,"May 15, 2021","Houston,",Michael Chandler,1,0,0,30,KO/TKO,Punch,2,0:19,Lightweight,Charles Oliveira,0,2,1,24
98,USA,"May 15, 2021","Houston,",Tony Ferguson,1,0,0,15,U-DEC,,3,5:00,Lightweight,Beneil Dariush,1,0,3,23
99,USA,"May 15, 2021","Houston,",Matt Schnell,0,0,0,65,U-DEC,,3,5:00,Bantamweight,Rogerio Bontorin,0,0,1,72
100,USA,"May 15, 2021","Houston,",Viviane Araujo,1,0,1,89,U-DEC,,3,5:00,Women's Flyweight,Katlyn Chookagian,0,0,0,127
101,USA,"May 15, 2021","Houston,",Shane Burgos,0,0,0,80,KO/TKO,Punch,3,1:16,Featherweight,Edson Barboza,0,1,0,98
102,USA,"May 15, 2021","Houston,",Jacare Souza,0,0,1,11,SUB,Armbar,1,3:59,Middleweight,Andre Muniz,1,0,2,7
103,USA,"May 15, 2021","Houston,",Mike Grundy,0,0,3,32,S-DEC,,3,5:00,Featherweight,Lando Vannata,0,0,1,80
104,USA,"May 15, 2021","Houston,",Jamie Pickett,0,0,0,4,KO/TKO,Knee,1,1:04,Middleweight,Jordan Wright,0,1,0,26
105,USA,"May 15, 2021","Houston,",Antonina Shevchenko,0,0,0,23,SUB,Triangle Armbar,2,4:52,Women's Flyweight,Andrea Lee,3,0,3,45
106,USA,"May 15, 2021","Houston,",Gina Mazany,0,0,4,33,KO/TKO,Punches,2,4:51,Women's Flyweight,Priscila Cachoeira,0,0,0,36
107,USA,"May 15, 2021","Houston,",Kevin Aguilar,0,0,0,81,U-DEC,,3,5:00,Featherweight,Tucker Lutz,0,0,3,99
108,USA,"May 15, 2021","Houston,",Sean Soriano,0,0,0,33,SUB,D'Arce Choke,2,0:59,Lightweight,Christos Giagos,1,0,3,22
109,USA,"May 08, 2021","Vegas,",Michelle Waterson,0,0,1,88,U-DEC,,5,5:00,Women's Flyweight,Marina Rodriguez,0,0,0,125
110,USA,"May 08, 2021","Vegas,",Donald Cerrone,0,0,0,17,KO/TKO,Punches,1,4:40,Welterweight,Alex Morono,0,0,0,35
111,USA,"May 08, 2021","Vegas,",Geoff Neal,0,0,1,35,U-DEC,,3,5:00,Welterweight,Neil Magny,0,0,2,55
112,USA,"May 08, 2021","Vegas,",Maurice Greene,0,0,0,5,U-DEC,,3,5:00,Heavyweight,Marcos Rogerio de Lima,0,0,3,14
113,USA,"May 08, 2021","Vegas,",Diego Ferreira,0,0,0,31,KO/TKO,Punches,2,4:51,Lightweight,Gregor Gillespie,0,0,4,45
114,USA,"May 08, 2021","Vegas,",Kyle Daukaus,0,0,0,28,U-DEC,,3,5:00,Middleweight,Phil Hawes,1,0,2,66
115,USA,"May 08, 2021","Vegas,",Ludovit Klein,0,0,4,45,U-DEC,,3,5:00,Featherweight,Michael Trizano,1,0,0,56
116,USA,"May 08, 2021","Vegas,",Tafon Nchukwi,0,0,1,58,M-DEC,,3,5:00,Middleweight,Junyong Park,2,0,2,71
